Month,Year,Capacity,Gross Potential
12,2001,100,78
12,2001,100,94
12,2001,100,97
12,2001,100,97
12,2001,100,100
12,2001,100,102
12,2001,100,104
12,2001,100,104
12,2001,98,87
12,2001,98,101
12,2001,97,72
12,2001,97,73
12,2001,97,75
12,2001,97,90
12,2001,96,51
12,2001,96,76
12,2001,96,95
12,2001,95,81
12,2001,95,85
12,2001,95,88
12,2001,95,93
12,2001,94,86
12,2001,94,90
12,2001,93,88
12,2001,92,67
12,2001,92,80
12,2001,92,84
12,2001,91,79
12,2001,91,82
12,2001,88,41
12,2001,88,67
12,2001,88,75
12,2001,88,82
12,2001,87,67
12,2001,87,78
12,2001,86,77
12,2001,85,62
12,2001,85,78
12,2001,85,84
12,2001,84,37
12,2001,84,63
12,2001,84,66
12,2001,83,67
12,2001,83,76
12,2001,83,80
12,2001,83,83
12,2001,82,64
12,2001,82,69
12,2001,82,71
12,2001,82,81
12,2001,81,59
12,2001,81,77
12,2001,81,81
12,2001,80,79
12,2001,79,63
12,2001,79,67
12,2001,79,72
12,2001,79,73
12,2001,79,75
12,2001,79,75
12,2001,78,59
12,2001,77,73
12,2001,77,73
12,2001,76,63
12,2001,76,65
12,2001,76,67
12,2001,76,67
12,2001,76,68
12,2001,76,69
12,2001,76,70
12,2001,75,42
12,2001,75,61
12,2001,75,64
12,2001,74,62
12,2001,74,70
12,2001,73,68
12,2001,72,55
12,2001,72,58
12,2001,71,59
12,2001,71,69
12,2001,69,46
12,2001,68,44
12,2001,68,61
12,2001,67,52
12,2001,66,50
12,2001,66,59
12,2001,66,61
12,2001,66,62
12,2001,65,40
12,2001,65,52
12,2001,65,53
12,2001,64,62
12,2001,63,42
12,2001,62,43
12,2001,62,50
12,2001,61,50
12,2001,61,52
12,2001,60,36
12,2001,60,46
12,2001,60,48
12,2001,59,60
12,2001,57,37
12,2001,56,39
12,2001,55,53
12,2001,54,41
12,2001,54,41
12,2001,54,44
12,2001,53,40
12,2001,52,38
12,2001,51,29
12,2001,51,38
12,2001,50,33
12,2001,45,33
12,2001,45,35
12,2001,36,26