Date.Month,Date.Year,Capacity,Gross Potential
1,2000,26,15
1,2000,25,16
1,2000,29,18
1,2000,36,25
1,2000,35,26
1,2000,46,32
1,2000,41,32
1,2000,36,32
1,2000,47,34
1,2000,58,34
1,2000,43,39
1,2000,63,41
1,2000,62,43
1,2000,54,43
1,2000,53,43
1,2000,63,44
1,2000,60,45
1,2000,68,46
1,2000,51,46
1,2000,57,46
1,2000,66,48
1,2000,48,48
1,2000,81,49
1,2000,80,49
1,2000,51,49
1,2000,68,50
1,2000,54,51
1,2000,51,51
1,2000,72,52
1,2000,52,52
1,2000,73,53
1,2000,61,53
1,2000,82,54
1,2000,62,54
1,2000,61,54
1,2000,59,55
1,2000,74,56
1,2000,65,56
1,2000,74,57
1,2000,87,57
1,2000,68,57
1,2000,66,57
1,2000,70,58
1,2000,80,58
1,2000,64,58
1,2000,63,59
1,2000,65,59
1,2000,75,60
1,2000,70,60
1,2000,62,60
1,2000,68,60
1,2000,69,60
1,2000,70,61
1,2000,67,61
1,2000,71,61
1,2000,58,61
1,2000,81,62
1,2000,67,62
1,2000,67,62
1,2000,72,63
1,2000,78,64
1,2000,68,64
1,2000,70,64
1,2000,82,64
1,2000,77,64
1,2000,79,65
1,2000,63,65
1,2000,81,66
1,2000,59,66
1,2000,70,67
1,2000,79,68
1,2000,82,68
1,2000,63,68
1,2000,70,69
1,2000,73,69
1,2000,79,70
1,2000,80,70
1,2000,86,71
1,2000,77,71
1,2000,78,71
1,2000,79,72
1,2000,75,74
1,2000,81,74
1,2000,76,74
1,2000,75,74
1,2000,84,75
1,2000,90,76
1,2000,88,76
1,2000,75,76
1,2000,92,76
1,2000,85,76
1,2000,80,76
1,2000,79,77
1,2000,79,77
1,2000,87,77
1,2000,83,77
1,2000,94,79
1,2000,70,79
1,2000,70,79
1,2000,78,79
1,2000,88,80
1,2000,86,80
1,2000,85,80
1,2000,92,81
1,2000,85,81
1,2000,82,82
1,2000,77,83
1,2000,85,83
1,2000,82,83
1,2000,85,83
1,2000,76,83
1,2000,84,84
1,2000,68,85
1,2000,91,85
1,2000,70,86
1,2000,95,88
1,2000,92,88
1,2000,100,89
1,2000,92,90
1,2000,68,91
1,2000,94,91
1,2000,96,92
1,2000,92,92
1,2000,75,94
1,2000,81,94
1,2000,97,95
1,2000,94,97
1,2000,96,97
1,2000,98,99
1,2000,80,99
1,2000,100,99
1,2000,90,100
1,2000,87,105